#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_7	96.3899	1565752	0.0000	99.9994	1565742	21680	21757	0.4043	80	59.99
scaffold_18	105.4932	1239565	0.0000	99.9992	1239555	19153	19096	0.4055	72	211.47
scaffold_29	94.9183	1094369	0.0000	100.0000	1094369	15338	15296	0.4094	81	83.77
scaffold_40	159.2668	1030473	0.0000	100.0000	1030473	22601	22615	0.4190	93	460.00
scaffold_51	89.4216	985676	0.0000	100.0000	985676	12023	11961	0.4162	79	32.81
scaffold_62	269.3167	945335	0.0000	99.9999	945334	34488	34155	0.4342	84	1450.68
scaffold_73	97.2557	906745	0.0000	100.0000	906745	13092	12627	0.4097	80	56.62
scaffold_84	92.6670	871309	0.0000	100.0000	871309	11435	11471	0.4074	79	64.25
scaffold_95	140.8124	839861	0.0000	100.0000	839861	16629	16592	0.4105	97	231.08
scaffold_106	119.3841	816917	0.0000	100.0000	816917	15564	15145	0.4174	87	326.85
scaffold_117	85.0937	788585	0.0000	99.9987	788575	10163	9964	0.4155	75	38.56
scaffold_128	90.8609	756335	0.0000	100.0000	756335	9452	9255	0.3996	82	32.45
scaffold_139	91.5995	746146	0.0000	99.8947	745360	9673	9730	0.3996	78	36.01
scaffold_150	90.2261	725616	0.0000	100.0000	725616	9705	9895	0.4148	80	36.88
scaffold_161	139.7927	711576	0.0000	100.0000	711576	14015	14228	0.4097	72	390.46
scaffold_172	94.2834	698929	0.0000	100.0000	698929	9385	9348	0.3997	84	39.72
scaffold_183	118.0866	686166	0.0000	100.0000	686166	12185	11750	0.4092	72	254.20
scaffold_194	84.2606	679211	0.0000	100.0000	679211	8271	8384	0.3987	76	29.96
scaffold_205	86.3108	669486	0.0000	99.9933	669441	8387	8290	0.4164	73	37.51
scaffold_216	118.9841	661933	0.0000	100.0000	661933	10954	10973	0.3933	73	272.71
scaffold_227	115.4028	645939	0.0000	100.0000	645939	10494	10692	0.4130	87	155.74
scaffold_238	91.8515	632462	0.0000	100.0000	632462	8457	8490	0.4081	81	35.91
scaffold_249	143.7079	615348	0.0000	100.0000	615348	12673	12869	0.3979	78	313.94
scaffold_260	117.5920	610973	0.0000	100.0000	610973	9920	10162	0.3982	79	227.04
scaffold_271	87.2819	603972	0.0000	100.0000	603972	7700	7638	0.4140	75	47.35
scaffold_282	107.8669	591506	0.0000	100.0000	591506	10163	10439	0.4030	76	256.07
scaffold_293	103.7430	582990	0.0000	100.0000	582990	8157	8183	0.4045	92	37.58
scaffold_304	95.6912	575418	0.0000	100.0000	575418	7590	7542	0.3777	73	106.66
scaffold_315	187.6714	569993	0.0000	100.0000	569993	15169	15202	0.4160	74	738.65
scaffold_326	104.4028	563337	0.0000	100.0000	563337	8200	8328	0.3984	73	155.45
scaffold_337	123.2143	555950	0.0000	100.0000	555950	9235	9398	0.4007	82	266.33
scaffold_348	93.2044	550288	0.0000	100.0000	550288	7325	7322	0.4010	76	99.47
scaffold_359	91.7679	545563	0.0000	100.0000	545563	7013	7265	0.4070	79	41.57
scaffold_370	86.9946	536767	0.0000	100.0000	536767	6870	6884	0.4063	76	38.33
scaffold_381	68.6583	530315	0.0000	100.0000	530315	5116	5207	0.4013	61	30.63
scaffold_392	167.6195	526881	0.0000	100.0000	526881	13469	13569	0.4132	87	276.54
scaffold_403	91.8174	518967	0.0000	100.0000	518967	6780	6816	0.4055	79	72.37
